,MAPE,NMBE,CVRSME,RSQUARED
Office_Abbey,40.87957280281786,11.445253514497642,86.71591083344619,-5.739390029869128
Office_Abigail,82.63488179798512,8.373193656226963,285.3982246384929,-32.324388712028124
Office_Al,35.4937988878241,4.200223714934028,98.01523812656838,-7.102207741008758
Office_Alannah,81.71188259546801,17.823340392917082,271.93391770386205,-28.47680219875347
Office_Aliyah,13.07436116872857,-0.7941314338257245,32.58063035793745,-7.712929573745386
Office_Allyson,42.017608499357486,7.850622992755087,109.07020112978746,-2.8160889718827957
Office_Alyson,70.44209731010635,4.620025251740801,137.18219512380765,-9.302761285162331
Office_Amelia,90.94970338747879,9.500980360082751,204.09700759549267,-8.239861001002229
Office_Amelie,85.87222304344965,9.812421343796785,267.2439163968286,-10.852811926278248
Office_Anastasia,35.1446056864581,8.396767766294586,85.74762473255703,-3.232276639739325
Office_Andrea,60.39710047352097,5.589915385062924,158.11033375593956,-18.03388861678215
Office_Angelica,27.979785304331838,-1.1515742643499247,65.56428652397643,-11.330852577251774
Office_Angelina,43.8183330087272,1.460575291476208,100.32998791046218,-6.061079443247519
Office_Angelo,68.74993735040526,2.718824627644026,184.0763302583247,-14.517971942197287
Office_Annika,38.22592614006268,5.301605425543349,113.59269813375691,-2.705670918777312
Office_Ashanti,15.71054045450282,0.9279652753388811,58.52111500733648,-9.710670074751786
Office_Asher,48.84546895279346,7.300729203091212,109.57622851435181,-24.91023179256076
Office_Aubrey,42.95623349448149,3.559782789007525,133.2911289215218,-20.821450546397536
Office_Autumn,28.660723897047387,4.756442463468603,64.47436457155415,-2.089608193150729
Office_Ava,34.84154386060581,6.698464981616986,69.28870813186847,-0.47650546213492273
Office_Ayden,23.903500191201903,-0.6049776531865727,77.7630342723672,-7.014536097045928
Office_Ayesha,514.1568037272355,4.124039334558056,116.66421633345522,-6.9197990980480215
Office_Benjamin,1260.6371403197033,-90.80887011516148,3467.9499468780405,-16868.899979891485
Office_Benthe,4051.7456774396846,789.6106234217358,18159.634323891532,-344414.0012268416
Office_Bianca,2701.35810967156,239.70762629331412,6580.570004840961,-8188.169676290756
Office_Bobbi,3097.5070950496024,-50.86452731926898,9156.314587228575,-53256.76530386407
Office_Brian,1315.712747479763,392.405790093538,7121.845045819651,-257854.81962292353
Office_Bryon,1706.1997711336853,307.64903683297746,8849.677414262747,-440454.81857811735
Office_Caleb,104.96677470271311,-1.7540542182128187,331.15377651926855,-59.28097371633893
Office_Cameron,109.79836197203086,-4.425072137367507,310.20859001173574,-886.9655746333486
Office_Carissa,146.1331535688909,4.9868359095778985,486.0089874482503,-1495.0710959455573
Office_Carolina,329.4040087217484,71.3801220579016,1386.2969632665333,-4398.349780579729
Office_Catherine,218.485193781944,-6.3968909166921435,817.9806380770985,-1885.59614319442
Office_Cecelia,605.5869653420395,-62.138704872262,1895.9054130575648,-2721.9026113916593
Office_Charles,128.83516131838385,21.61120261145916,494.19064934854487,-879.9698003366743
Office_Clarissa,653.1952376580223,-55.34815238878515,1500.6279357150338,-841.0947972872076
Office_Clifton,335.3315716368929,-6.576690833004266,903.4167553183132,-520.1137885245198
Office_Clinton,141.43864942992371,-5.103477014278084,451.27853185055443,-207.61594381432596
Office_Cody,265.1517395837456,43.99094055097195,911.1319188415248,-1152.7422752906627
Office_Colby,197.34513862666884,-42.71659138469655,690.2451680139742,-3153.6585958480796
Office_Conrad,324.5013040819757,69.29126537557188,1114.4794571733664,-2212.5966271749467
Office_Cora,229.83485120427108,-19.03069721137517,681.8966086857166,-858.5099060580709
Office_Corbin,345.86089743013446,-1.0795379094235609,1020.8139901325577,-2648.3550058016576
Office_Cristina,491.76401191704684,-34.16205833864936,1439.5829752350294,-2072.4954524059704
Office_Curt,216.1585882623777,-17.19575492262097,617.9838031541555,-1265.4256226846926
Office_Dawn,1846.7475990708326,359.49012915585917,9109.988562559049,-84105.22391791742
Office_Dorian,542.5675641178062,45.350720762728045,1712.725451762664,-48139.63977036735
Office_Eddie,334.021090773047,13.771766440967628,1593.9474996136162,-1938.3180538859538
Office_Eileen,1158.801363402276,-208.2977903515552,6283.189551868893,-43949.4583511398
Office_Elena,862.6307516707802,128.3719102613064,3573.8766657942383,-6832.99139584462
Office_Elizabeth,6202.007343621331,811.068414887728,22891.011921940673,-92251.5739601352
Office_Ellie,2685.4741450834927,-665.4988322196023,13208.154983082179,-55252.78648796344
Office_Elliot,98.14275944217748,0.9176998373948952,409.8860463016056,-127.19744169698777
Office_Ellis,424.1574390784507,-37.710509642580995,2326.388560512069,-1944.772668970658
Office_Emer,1218.9244676773308,237.49204078807657,5519.595189949957,-16313.386830591473
Office_Emerald,206.4461103375049,47.32080050936434,1204.0414414001573,-693.337335850108
Office_Erik,1066.654402885109,166.90657742183893,7285.650176657038,-17585.832160331807
Office_Evelyn,2268.852171728139,-407.57586325806363,15687.754587477286,-161405.10314199523
Office_Gabriela,32.594323727596944,-2.2552485021654607,69.21602432392483,-7.235218607362107
Office_Garman,18.37183135901006,-1.1440985499765526,56.348222911691,-3.6452881427006014
Office_Garrett,116.37237313284501,-9.134861027171299,240.95451845904344,-32.55791473315088
Office_Gemma,27.37006829051236,-6.865783375886417,62.6530632367796,-4.655634738133304
Office_Georgia,220.52863709356924,-18.207608014823347,173.65431161881295,-1.6772861489160822
Office_Gisselle,25.335545613469847,-3.5950309228871977,67.66643693160758,-6.668796771849325
Office_Gladys,41.58782959874859,-13.616022664298288,97.98607155213354,-8.266716746366031
Office_Glenda,31.449152498759542,-10.882945758271354,74.31482389943838,-11.353556335827685
Office_Glenn,59.51025439082497,-6.428261821555842,109.28295113583955,-5.407903625547888
Office_Gloria,30.029200936534956,-10.609534051974444,61.39807773012403,-4.729695426792957
Office_Guillermo,37.91076377772311,-12.159227794076102,94.1819736724707,-5.01630041191596
Office_Gustavo,40.08031469471918,-6.797772724743735,100.54577855372995,-10.329943557468907
Office_Jackie,935.3579273538858,14.527818951606895,458.5501355335287,-18.931605075376453
Office_Jackson,336.7341385527368,-7.635104925188544,219.64184629067137,-16.426104565496026
Office_Jan,8214.493289213378,1.7741416994941412,281.2546665956429,-6.956554892865003
Office_Javon,318.1101239260566,-7.501229392687748,195.51242490242484,-34.39313642129993
Office_Jayden,270.9931219631492,-10.331180344907489,471.78123386596053,-45.83771547189494
Office_Jeanne,809.0989287692705,-0.6918876863724632,267.09679644161935,-8.113450162305508
Office_Jerry,158.67516018183616,15.973997442644627,243.14770083914465,-17.780853176387495
Office_Jesus,184.46687848774855,22.525918992863506,312.3900610919685,-65.02770552755786
Office_Jett,419.8745740054777,-3.374856767913477,470.66657218518714,-42.080192281250554
Office_Joan,319.1849311543842,-14.529125571967825,323.08831832095376,-20.491925634721227
Office_John,2842.9493113516783,-0.6164833208448621,200.479006057118,-25.485558831620512
Office_Joni,2805.3324612647484,0.5780079626201362,234.8067466499968,-26.001208355574192
Office_Jude,2030.079307800482,0.08791949015484367,171.18935661590814,-21.90482758921815
Office_Lane,18.464685002987746,-1.998532642663476,41.47616777828453,-5.85607264765902
Office_Leland,100.60045251452779,-9.005172854607277,173.77961912684373,-10.686704350161326
Office_Lena,91.26231255937283,-1.013839176525082,187.0329764579549,-21.13279871486638
Office_Lesa,130.74212990091695,0.49211263117761694,247.03853529322456,-29.071599413331395
Office_Lillian,26.08670790049985,-3.783543473378382,62.60307151199236,-0.57092630210028
Office_Louise,95.81278355935993,9.400676115337173,185.76213100681113,-30.223618460452414
Office_Luann,13.899866160387239,-1.6006581331420415,38.0532145458436,-3.639576774972957
Office_Mada,92.66751507950893,1.3058386092820768,285.12697146477865,-62.45143280034175
Office_Madeleine,98.25421167083475,-0.5664780781587364,444.85463136942735,-414.01937602181926
Office_Madisyn,131.45946034338778,-8.856812498392058,883.1884037845374,-721.7454686192556
Office_Malik,173.91004900633817,4.446624099659215,751.7889384090612,-180.72535912105627
Office_Marc,161.28729015738836,9.817225437953562,581.3653560146863,-103.87656418851738
Office_Marcia,100.01243022978916,-15.785203751139406,620.0753961655297,-758.5082458202187
Office_Marcus,157.89150113881212,-4.0418756110251115,714.6747479980182,-270.9281655059055
Office_Marianne,67.82164872764947,-3.951846956327861,273.44256353671375,-95.7116199170248
Office_Marilyn,217.44337936798766,21.87889753595852,622.8832687982581,-161.68279740201098
Office_Marion,69.4418311077944,-3.4127410595608065,289.8392398487603,-313.25666336667257
Office_Mark,131.37399316763893,-0.483498376432453,518.7225843240939,-227.8784742521137
Office_Marla,127.11435344820437,-7.046124554064851,690.3811361700205,-2260.187423852849
Office_Marlon,207.72968229801236,10.29994536359487,555.9655519161314,-56.36428907303316
Office_Martha,226.8198405726689,1.612295896970553,954.1922696156014,-423.6706915962858
Office_Martin,121.90901985627183,11.354266340602736,578.1169461803008,-1288.4130005654185
Office_Marvin,176.41168887957534,15.196429728244443,679.2355362093549,-267.2530399866721
Office_Mary,196.04441116603323,13.145242657499162,771.7259726156934,-257.1416003320756
Office_Maryann,278.405164060723,28.270717986831677,1138.5909546615044,-512.4391631853231
Office_Mason,150.88888826901714,-4.125026736564152,540.612903217963,-431.9432828557548
Office_Mat,131.10206464540244,-5.38239919953065,498.0275666722545,-271.18579101404487
Office_Matthew,120.42861458514629,-1.5985210635376081,518.6724904286042,-587.3072641862526
Office_Max,150.19738280533832,-1.7479582381165624,474.77429504150894,-154.5541559359473
Office_Maximus,119.82571951664069,0.9003298265023862,261.2032233739731,-8.884971264731947
Office_Maya,151.24904289593727,2.343094906896773,537.9406272311152,-96.28954416778873
Office_Megan,64.95449447668277,2.57665934655731,277.137965073151,-230.57628395649758
Office_Melinda,199.7046110276807,-22.930090069565583,1585.2234038518725,-3661.5237912202347
Office_Mercedes,114.3024098558834,12.21730060842007,504.07146041308175,-445.08873501112816
Office_Michael,285.5536979880256,-11.823434602957594,1243.2223310920563,-792.1347837549381
Office_Micheal,166.92989086095204,-8.94919700361187,667.4162015521612,-225.84093178512776
Office_Mick,143.86620978388342,-5.764132620838209,572.4136800369561,-379.2510669183954
Office_Mikayla,39.374149911304734,1.1374427986887132,143.1703233478571,-90.63724816380089
Office_Milton,44.64565568370741,-2.6067054901793494,223.53627387305437,-399.31977088642446
Office_Mohammed,25.461089181756613,-0.1550320656342087,155.08434475956776,-682.9282983880837
Office_Moises,355.65001813536503,-25.60385210358299,3012.8002553156953,-8378.68737853994
Office_Monty,220.4453451369623,5.630086783576858,901.6638370817512,-252.25176308511402
Office_Morgan,96.12206982540863,-1.0531075805183576,482.68956995770225,-414.0653862552451
Office_Moses,109.49265584656658,3.0579376675171894,570.4005922090258,-1253.851470258574
Office_Muhammad,62.99004714389864,4.628563208621447,277.61748106854947,-331.47829591203515
Office_Myron,289.9309285784334,-11.69938909492345,1098.7225842136713,-341.33266249961815
Office_Natasha,142.10199553915697,-16.955742919851772,864.9310474004582,-1753.029406247832
Office_Nelson,273.1234543093845,42.24875918823847,1606.000362196071,-2515.924892523428
Office_Noel,107.72446502374622,13.407738486583021,595.5514294943769,-1715.3959099063445
Office_Paige,118.79343112653902,10.325492025236134,616.1962797253134,-692.1521633689747
Office_Pam,137.2529486456891,-11.472749623151515,762.3638832263123,-329.3332115801272
Office_Pamela,138.0371025077612,20.100919959561175,405.36618424061965,-97.47579437339655
Office_Pasquale,47.31027608633751,-3.8951684175686645,189.4185712304084,-321.49979138482325
Office_Pat,159.66136786330773,-8.031513920843837,692.3976564937668,-755.1143485375696
Office_Patricia,224.4856757111199,-3.500674528880948,1935.8243475293518,-2844.987775727005
Office_Paula,239.2283243572471,40.00924981430941,887.9207577875181,-743.3039105836741
Office_Paulette,216.87426189727708,3.383102366830843,855.0213357543796,-248.3865825540625
Office_Paulina,58.521677089465186,-2.230525095490516,196.0513346830843,-177.57539069481217
Office_Pauline,114.89822463640176,-10.818120905705362,318.373888465344,-102.93577077713647
Office_Penny,98.56926333074561,-6.777457392188895,252.706277881016,-56.40114018701418
Office_Perla,155.098276978824,-1.6576149076080398,584.696508463396,-326.6885725923516
Office_Phebian,90.26598837602722,-1.4869558287635924,240.1658529801924,-22.455995068734083
Office_Precious,28.13791845433988,0.050543905107687484,138.48275991457754,-160.77809738439123
Office_Scottie,50.88266309851581,-4.506446144792897,150.00577628575334,-11.47884111546863
Office_Shari,44.45756559612973,-6.525765424457919,112.64268271236243,-10.726243887291549
Office_Shawnette,49.75792618469372,-9.259492514106679,115.9406259877185,-8.647467014989724
Office_Shelly,74.22743789343501,5.9657909420932755,160.3294096709971,-23.114468329015494
Office_Sinead,43.94939832753124,-5.147981464885516,108.43460133282872,-9.739029149842569
Office_Skyler,59.89749269925502,-10.163327051477665,119.33810805854559,-3.67318264504497
Office_Stella,89.49699869932644,7.604425131433384,210.49848554691678,-29.236259740491988
Office_Terrell,223.88482608966265,13.416007735445683,805.8236683899235,-287.7165313335213
Office_Tod,656.7617051972708,15.026864952000052,2814.8209822543627,-4303.582541953296
Office_Travis,45.33089952621457,-0.5047901210709292,183.6576642419307,-435.1492653264106
