,MAPE,NMBE,CVRSME,RSQUARED
Office_Abbey,30404418.104147933,-10610317.730141325,32008219.65651031,-918218520580.418
Office_Abigail,43508105.74042067,-14677838.788644433,44278747.461120375,-802140255006.2854
Office_Al,71270543.69305432,-25066232.894630443,75617447.16804413,-4822366333873.932
Office_Alannah,33792663.838951886,-10859616.70682753,32760273.273172162,-427807742012.714
Office_Aliyah,23120676.74727583,-9377175.724320458,28288164.839369915,-6568327314167.012
Office_Allyson,83669213.73407961,-26581769.044821274,80189390.45722365,-2062719091875.5542
Office_Alyson,33621523.83644676,-10894713.896715792,32866185.77204378,-591366546435.0682
Office_Amelia,99316550.55302641,-29561128.440822963,89177262.36468619,-1764007532322.3435
Office_Amelie,99348444.06208633,-24678403.249143362,74447488.20035306,-919826330366.2906
Office_Anastasia,60151824.42418008,-21325110.212751023,64331582.23534534,-2382200525192.032
Office_Andrea,55683207.48241862,-20549054.08964951,61990437.42549587,-2925879354514.6123
Office_Angelica,39245446.67591119,-15432949.381295405,46556655.418983474,-6217588468576.201
Office_Angelina,36013762.132802084,-12052440.275008049,36358679.49008856,-927311789533.5968
Office_Angelo,108686459.68562095,-30926549.243264098,93296283.87998249,-3986279608691.6953
Office_Annika,90736019.42432919,-26936794.284586556,81260404.06277362,-1896373918174.4446
Office_Ashanti,29843019.56744305,-12186323.03242058,36762550.57850579,-4226712687159.756
Office_Asher,49265335.39093944,-19033320.344831854,57417905.28084004,-7114318273792.117
Office_Aubrey,35024424.487377726,-13505924.24789732,40743375.67830805,-2038896312988.4292
Office_Autumn,75227517.10451865,-24665559.72868846,74408758.07018921,-4115071435513.7417
Office_Ava,92952391.64417586,-27664255.228671145,83454936.36166222,-2141973977251.304
Office_Ayden,39302546.83406458,-15385820.0646502,46414479.85636362,-2855216000356.215
Office_Ayesha,233300963.48359057,-28105619.59445128,84786373.92338203,-4183029746257.925
Office_Benjamin,15.08114997412095,8.022312545089912,20.001327371653087,0.43884284745618973
Office_Benthe,24.051059797326968,4.989738716477833,29.278859896625043,0.10468433296446489
Office_Bianca,65.5832797027037,18.540289844992827,57.23134597335176,0.3805863635962503
Office_Bobbi,28.089721601817878,-5.5263610255932365,29.952122833235606,0.43010250936499705
Office_Brian,9.438736324156816,2.2762513567372116,11.97685362230654,0.27074841684140016
Office_Bryon,9.616012901718321,-2.2073299061858243,11.60970492110059,0.24196399467623741
Office_Caleb,26.68766367991222,-2.4690035655535794,26.703502806610103,0.6080259636832729
Office_Cameron,7.5932372146097755,-6.5657856062633595,8.582722350414844,0.3202665905560599
Office_Carissa,7.701833738374206,2.064307200778119,9.693584909870014,0.40484173485342534
Office_Carolina,16.679308077750488,-5.566779606369632,20.06301200380417,0.07855755168042
Office_Catherine,11.31024624609809,-3.852105768475722,13.778931087901308,0.46466708016976854
Office_Cecelia,28.543400665707868,-3.7894512958109465,29.833297797119204,0.32578051125912955
Office_Charles,8.997281360172515,-2.215551330443235,11.630728115284498,0.5120382494630515
Office_Clarissa,44.34008049377125,-12.040264893335022,39.36090281815265,0.42064463551840336
Office_Clifton,26.934070819356258,-5.110006071331331,31.167021783632425,0.37977839329898255
Office_Clinton,18.24873894579706,-5.7005551592947,19.690138916283523,0.6028489549527807
Office_Cody,16.50599848426788,-2.682165615919773,18.939813887985608,0.5014626530389583
Office_Colby,5.524845819532864,-2.0132373312781353,6.701019108256381,0.702677806385863
Office_Conrad,17.275389388022198,-1.9724583764455308,20.894654372722744,0.2219191396882666
Office_Cora,12.441647498831578,-1.0574418860860069,14.91011243134483,0.5890626065277333
Office_Corbin,14.003683452310216,-5.255193707999887,16.44307750422604,0.3125942868460071
Office_Cristina,21.183971589906896,3.1230423681493504,23.341575626790274,0.45488262983112226
Office_Curt,11.239512223217801,-2.6428618171566307,14.500661244930287,0.3027297799793518
Office_Dawn,14.58243975138237,3.2686727340430553,19.069183507253612,0.6314837290904161
Office_Dorian,5.2152794040358215,-1.7709751790052808,6.334580635773419,0.3414752651162095
Office_Eddie,18.699873731569276,0.08226284766686383,19.942662836197325,0.6964240878510437
Office_Eileen,18.4609533009686,-7.067086616203063,18.66354602112121,0.6122146401242816
Office_Elena,21.97280166714088,6.7868621255227035,29.843863082242336,0.5234533910701165
Office_Elizabeth,69.75949070474627,1.4645009207813708,45.4882002940365,0.6357110327563071
Office_Ellie,37.330821843607524,2.467636311539078,35.43193522992984,0.6023806789366072
Office_Elliot,28.01378393786732,-4.3559873848220985,29.489608419366647,0.3364233399986908
Office_Ellis,84.95032853329351,-3.197424941855922,84.08516150647816,-1.5419459800341375
Office_Emer,22.069374055634217,4.703868384126868,28.8148977585449,0.5553784927962282
Office_Emerald,26.43825188942845,7.9873186254228195,29.38188766295515,0.5865271128115744
Office_Erik,31.30790790480798,3.6903135612721902,36.505307758966026,0.5584671526283912
Office_Evelyn,23.733202049560045,-5.072093220159212,24.61280379143727,0.6026981768240898
Office_Gabriela,13.313251176075717,-4.384692084615457,14.982331136409778,0.6141481254470404
Office_Garman,14.342825923045394,-3.7152856567042027,15.666635213841404,0.6409097009387206
Office_Garrett,32.57213762773978,-15.220413070926558,35.072057943279674,0.28903648113442604
